anime_id,title,type,source,episodes,duration_min,score,studio,genre,start,finish
11013,Inu x Boku SS,TV,Manga,12,24.0,7.63,David Production,"Comedy, Supernatural, Romance, Shounen",2012-01-13,2012-03-30
2104,Seto no Hanayome,TV,Manga,26,24.0,7.89,Gonzo,"Comedy, Parody, Romance, School, Shounen",2007-04-02,2007-10-01
5262,Shugo Chara!! Doki,TV,Manga,51,24.0,7.55,Satelight,"Comedy, Magic, School, Shoujo",2008-10-04,2009-09-25
721,Princess Tutu,TV,Original,38,16.0,8.21,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",2002-08-16,2003-05-23
12365,Bakuman. 3rd Season,TV,Manga,25,24.0,8.67,J.C.Staff,"Comedy, Drama, Romance, Shounen",2012-10-06,2013-03-30
6586,Yume-iro Pâtissière,TV,Manga,50,24.0,8.03,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo",2009-10-04,2010-09-26
178,Ultra Maniac,TV,Manga,26,24.0,7.26,Production Reed,"Magic, Comedy, Romance, School, Shoujo",2003-05-20,2003-11-11
2787,Shakugan no Shana II (Second),TV,Light novel,24,24.0,7.72,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",2007-10-05,2008-03-28
4477,Nodame Cantabile: Paris-hen,TV,Manga,11,23.0,8.24,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",2008-10-10,2008-12-19
853,Ouran Koukou Host Club,TV,Manga,26,23.0,8.34,Bones,"Comedy, Harem, Romance, School, Shoujo",2006-04-05,2006-09-27
4814,Junjou Romantica 2,TV,Manga,12,24.0,8.15,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",2008-10-12,2008-12-28
7054,Kaichou wa Maid-sama!,TV,Manga,26,24.0,8.2,J.C.Staff,"Comedy, Romance, School, Shoujo",2010-04-02,2010-09-24
11123,Sekaiichi Hatsukoi 2,TV,Manga,12,24.0,8.23,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",2011-10-08,2011-12-24
14227,Tonari no Kaibutsu-kun,TV,Manga,13,24.0,7.71,Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo",2012-10-02,2012-12-25
269,Bleach,TV,Manga,366,24.0,7.9,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",2004-10-05,2012-03-27
59,Chobits,TV,Manga,26,24.0,7.53,Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",2002-04-03,2002-09-25
6045,Kimi ni Todoke,TV,Manga,25,22.0,8.13,Production I.G,"Slice of Life, Drama, Romance, School, Shoujo",2009-10-07,2010-03-31
1735,Naruto: Shippuuden,TV,Manga,500,23.0,8.18,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",2007-02-15,2017-03-23
210,Ranma ½,TV,Manga,161,24.0,7.85,Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy",1989-04-15,1992-09-25
4224,Toradora!,TV,Light novel,25,24.0,8.39,J.C.Staff,"Slice of Life, Comedy, Romance, School",2008-10-02,2009-03-26
10030,Bakuman. 2nd Season,TV,Manga,25,24.0,8.49,J.C.Staff,"Comedy, Drama, Romance, Shounen",2011-10-01,2012-03-24
74,Gakuen Alice,TV,Manga,26,25.0,7.77,Group TAC,"Comedy, School, Shoujo, Super Power",2004-10-30,2005-05-14
4722,Skip Beat!,TV,Manga,25,24.0,8.24,Hal Film Maker,"Comedy, Drama, Romance, Shoujo",2008-10-06,2009-03-30
14397,Chihayafuru 2,TV,Manga,25,22.0,8.47,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",2013-01-12,2013-06-29
1557,Shounen Onmyouji,TV,Light novel,26,23.0,7.68,Studio Deen,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo",2006-10-03,2007-03-13
10800,Chihayafuru,TV,Manga,25,22.0,8.29,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",2011-10-05,2012-03-28
3731,Itazura na Kiss,TV,Manga,25,24.0,7.7,TMS Entertainment,"Comedy, Romance, Shoujo",2008-04-05,2008-09-25
9513,Beelzebub,TV,Manga,60,24.0,8.02,Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen",2011-01-09,2012-03-25
5835,Hanasakeru Seishounen,TV,Manga,39,24.0,7.87,Studio Pierrot,"Drama, Romance, Shoujo",2009-04-05,2010-02-14
9863,SKET Dance,TV,Manga,77,24.0,8.33,Tatsunoko Production,"Comedy, School, Shounen",2011-04-07,2012-09-27
7817,B-gata H-kei,TV,4-koma manga,12,24.0,7.1,"Hal Film Maker, TYO Animations","Comedy, Romance, Ecchi, School, Seinen",2010-04-02,2010-06-18
966,Crayon Shin-chan,TV,Manga,0,21.0,7.73,Shin-Ei Animation,"Slice of Life, Comedy, Ecchi, School, Seinen",1992-04-13,
120,Fruits Basket,TV,Manga,26,24.0,7.77,Studio Deen,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",2001-07-05,2001-12-27
957,Saiunkoku Monogatari,TV,Light novel,39,25.0,8.04,Madhouse,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",2006-04-08,2007-02-24
21,One Piece,TV,Manga,0,24.0,8.54,Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",1999-10-20,
1974,Glass no Kamen (2005),TV,Manga,51,25.0,8.18,Tokyo Movie Shinsha,"Drama, Shoujo",2005-04-06,2006-03-29
857,Air Gear,TV,Manga,25,24.0,7.64,Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports",2006-04-05,2006-09-27
1914,Saiunkoku Monogatari 2nd Season,TV,Light novel,39,25.0,8.16,Madhouse,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",2007-04-07,2008-03-08
