champion,status,date,kill,death,assist,cs,duration
Irelia,Defeat,2019-11-18,5,5,2,237,25:39
Fizz,Victory,2019-11-18,5,3,16,175,23:02
Ryze,Victory,2019-11-18,6,3,9,269,27:53
Ryze,Victory,2019-11-18,6,2,2,231,22:23
Nocturne,Defeat,2019-11-18,4,3,0,152,20:38
Ryze,Defeat,2019-11-18,2,6,1,95,15:46
Nautilus,Defeat,2019-11-17,1,4,7,215,26:44
Rakan,Defeat,2019-11-17,0,8,13,16,32:18
LeBlanc,Victory,2019-11-17,11,3,11,201,29:25
Akali,Victory,2019-11-17,7,2,5,186,21:49
LeBlanc,Victory,2019-11-17,3,1,0,120,14:49
Akali,Defeat,2019-11-17,2,4,2,153,19:20
Neeko,Defeat,2019-11-17,5,6,3,178,27:15
LeBlanc,Defeat,2019-11-17,2,3,3,240,31:05
Veigar,Victory,2019-11-17,1,0,1,151,15:46
Veigar,Defeat,2019-11-17,5,4,2,206,24:27
Jayce,Victory,2019-11-17,3,2,13,191,24:29
Ryze,Defeat,2019-11-16,4,6,4,158,18:01
Qiyana,Defeat,2019-11-16,8,6,10,190,32:10
Twisted Fate,Victory,2019-11-16,8,1,10,154,20:35
Zoe,Victory,2019-11-16,7,3,7,252,31:30
Sion,Defeat,2019-11-16,5,4,2,222,28:27
Ryze,Victory,2019-11-16,3,2,6,396,34:27
Akali,Victory,2019-11-16,9,1,2,192,22:40
Ryze,Victory,2019-11-16,10,3,5,267,29:38
Yasuo,Victory,2019-11-16,3,3,4,165,17:58
Lee Sin,Victory,2019-11-15,9,4,13,189,28:05
Akali,Defeat,2019-11-15,7,3,3,253,27:00
Akali,Victory,2019-11-15,4,1,2,356,33:00
Akali,Defeat,2019-11-15,5,4,4,183,22:16
Akali,Defeat,2019-11-15,3,4,1,146,20:40
Akali,Defeat,2019-11-15,3,5,0,156,19:28
Ezreal,Victory,2019-11-15,2,2,4,165,17:32
Ryze,Victory,2019-11-15,1,5,10,233,27:25
Twisted Fate,Defeat,2019-11-15,1,0,6,228,23:13
Rek'Sai,Defeat,2019-11-15,1,5,0,73,15:52
Gangplank,Victory,2019-11-14,7,1,11,199,22:10
Nocturne,Victory,2019-11-14,3,4,5,233,31:34
Nautilus,Defeat,2019-11-14,0,5,5,169,23:09
Ryze,Defeat,2019-11-14,6,5,6,257,30:55
Akali,Defeat,2019-11-14,5,6,4,200,27:22
Rumble,Victory,2019-11-14,9,5,18,287,41:25
LeBlanc,Defeat,2019-11-13,3,6,5,180,25:13
Nocturne,Victory,2019-11-13,10,2,7,228,24:23
Gragas,Defeat,2019-11-13,2,5,6,186,25:14
Jayce,Defeat,2019-11-13,3,3,6,237,25:13
Renekton,Victory,2019-11-13,6,3,7,202,27:23
Renekton,Defeat,2019-11-13,8,8,13,281,37:02
Lucian,Defeat,2019-11-13,0,4,3,215,25:35
Kled,Defeat,2019-11-13,6,3,3,253,29:33
Gragas,Victory,2019-11-13,2,0,8,209,23:35
Viktor,Victory,2019-11-13,1,1,6,218,21:05
Tristana,Defeat,2019-11-13,2,3,14,227,29:26
Annie,Victory,2019-11-13,8,5,9,211,29:02
Nocturne,Victory,2019-11-13,4,5,7,198,28:57
Ryze,Victory,2019-11-13,7,4,15,322,33:23
Ryze,Defeat,2019-11-13,2,1,2,274,27:49
Zed,Defeat,2019-11-13,0,4,2,186,24:38
Alistar,Victory,2019-11-13,2,7,19,31,29:11
Kassadin,Defeat,2019-11-12,8,3,4,266,31:33
Rumble,Victory,2019-11-12,3,1,8,200,27:10
Kennen,Defeat,2019-11-12,3,4,1,203,22:44
Kayle,Defeat,2019-11-12,2,7,7,206,28:37
Diana,Defeat,2019-11-12,1,6,3,148,21:00
Akali,Victory,2019-11-12,3,0,2,174,16:49
Orianna,Victory,2019-11-12,10,4,12,300,40:34
Rumble,Victory,2019-11-12,4,2,5,107,16:01
Nautilus,Defeat,2019-11-12,2,6,6,178,23:47
Kled,Victory,2019-11-12,1,0,6,73,13:33
Ryze,Victory,2019-11-12,13,4,3,209,27:00
Nocturne,Victory,2019-11-12,7,4,13,222,27:02
Jayce,Victory,2019-11-12,4,3,4,194,22:15
Ahri,Defeat,2019-11-12,4,3,4,253,28:56
Jayce,Defeat,2019-11-12,1,3,1,190,23:59
Ornn,Defeat,2019-11-12,2,5,3,166,23:50
Nocturne,Defeat,2019-11-12,2,5,3,205,25:58
Nocturne,Defeat,2019-11-12,5,2,7,255,29:51
Lucian,Victory,2019-11-11,5,9,10,267,34:37
Nocturne,Defeat,2019-11-11,4,11,5,151,25:05
Tristana,Victory,2019-11-11,5,7,6,152,23:17
Nocturne,Defeat,2019-11-11,7,5,5,222,24:40
Diana,Defeat,2019-11-11,9,7,1,230,29:00
Tristana,Defeat,2019-11-11,4,8,3,225,29:41
Tristana,Victory,2019-11-11,17,4,11,200,26:30
Ryze,Defeat,2019-11-11,1,2,3,233,23:12
Ryze,Defeat,2019-11-11,3,4,3,200,20:47
Nocturne,Victory,2019-11-11,5,0,4,180,20:30
Ryze,Defeat,2019-11-11,0,4,1,269,26:02
Azir,Victory,2019-11-11,4,4,12,311,33:30
Akali,Defeat,2019-11-11,4,4,4,229,27:24
Zoe,Defeat,2019-11-11,2,5,5,205,26:03
Sion,Defeat,2019-11-11,5,2,7,282,39:23
Lucian,Defeat,2019-11-10,3,2,9,342,36:05
Ryze,Defeat,2019-11-10,1,4,2,187,21:06
Warwick,Victory,2019-11-10,2,2,9,138,28:34
Ivern,Victory,2019-11-10,4,6,19,185,41:35
Singed,Victory,2019-11-10,3,4,11,180,23:59
