date,opponent,score,venue,competition,venue_type
2010-01-06,Lebanon,1-1,"Saida International Stadium, Saida",2011 AFC Asian Cup qualification,A
2010-01-17,China PR,1-2,"Mỹ Đình National Stadium, Hanoi",2011 AFC Asian Cup qualification,H
2010-09-20,Kuwait,3-0,"Mỹ Đình National Stadium, Hanoi",2010 Millennial Anniversary of Hanoi Football Championship,H
2010-09-22,Australia,0-2,"Mỹ Đình National Stadium, Hanoi",2010 Millennial Anniversary of Hanoi Football Championship,H
2010-09-24,North Korea,0-0,"Mỹ Đình National Stadium, Hanoi",2010 Millennial Anniversary of Hanoi Football Championship,H
2010-10-08,India,1-3,India,Friendly,A
2010-10-12,Kuwait,1-3,"Jaber Al-Ahmad International Stadium, Kuwait City",Friendly,A
2010-11-02,South Korea,0-2,"Mỹ Đình National Stadium, Hanoi",2010 VFF Cup,H
2010-11-04,Singapore,1-1,"Mỹ Đình National Stadium, Hanoi",2010 VFF Cup,H
2010-11-06,North Korea,0-2,"Mỹ Đình National Stadium, Hanoi",2010 VFF Cup,H
2010-12-02,Myanmar,7-1,"Mỹ Đình National Stadium, Hanoi",2010 AFF Championship,H
2010-12-05,Philippines,0-2,"Mỹ Đình National Stadium, Hanoi",2010 AFF Championship,H
2010-12-08,Singapore,1-0,"Mỹ Đình National Stadium, Hanoi",2010 AFF Championship,H
2010-12-15,Malaysia,0-2,"National Stadium, Bukit Jalil, Kuala Lumpur",2010 AFF Championship,A
2010-12-18,Malaysia,0-0,"Mỹ Đình National Stadium, Hanoi",2010 AFF Championship,H
2011-06-29,Macau,6-0,"Thống Nhất Stadium, Ho Chi Minh City",2014 FIFA World Cup qualification - AFC First Round,H
2011-07-03,Macau,7-1,"Estádio Campo Desportivo, Taipa",2014 FIFA World Cup qualification - AFC First Round,A
2011-07-23,Qatar,0-3,"Jassim Bin Hamad Stadium, Doha",2014 FIFA World Cup qualification - AFC Second Round,A
2011-07-28,Qatar,2-1,"Mỹ Đình National Stadium, Hanoi",2014 FIFA World Cup qualification - AFC Second Round,H
2011-10-07,Japan,0-1,Japan,Friendly,A
2012-06-08,China PR,0-3,"Wuhan Sports Centre Stadium, Wuhan",Friendly,A
2012-06-10,Hong Kong,2-1,"Mong Kok Stadium, Kowloon",Friendly,A
2012-06-23,Mozambique,1-0,"Thống Nhất Stadium, Ho Chi Minh City",Friendly,H
2012-09-11,Malaysia,2-0,"Shah Alam Stadium, Shah Alam",Friendly,A
2012-09-15,Indonesia,0-0,"Gelora Bung Tomo Stadium, Surabaya",Friendly,A
2012-10-16,Indonesia,0-0,"Mỹ Đình National Stadium, Hanoi",Friendly,H
2012-10-24,Turkmenistan,0-1,"Thống Nhất Stadium, Ho Chi Minh City",2012 VFF Cup,H
2012-10-26,Laos,4-0,"Thống Nhất Stadium, Ho Chi Minh City",2012 VFF Cup,H
2012-10-28, University Selection,1-1,"Thống Nhất Stadium, Ho Chi Minh City",2012 VFF Cup,H
2012-11-03,Malaysia,1-0,"Mỹ Đình National Stadium, Hanoi",Friendly,H
2012-11-24,Myanmar,1-1,"Rajamangala Stadium, Bangkok",2012 AFF Championship,A
2012-11-27,Philippines,0-1,"Rajamangala Stadium, Bangkok",2012 AFF Championship,A
2012-11-30,Thailand,1-3,"Rajamangala Stadium, Bangkok",2012 AFF Championship,A
2013-02-06,United Arab Emirates,1-2,"Mỹ Đình National Stadium, Hanoi",2015 AFC Asian Cup qualification,H
2013-03-22,Hong Kong,0-1,"Mong Kok Stadium, Kowloon",2015 AFC Asian Cup qualification,A
2013-10-09,Qatar,2-1,"Thani bin Jassim Stadium, Doha",Friendly,A
2013-10-15,Uzbekistan,1-3,"Pakhtakor Markaziy Stadium, Tashkent",2015 AFC Asian Cup qualification,A
